Word,POS Tag,Frequency
introduction,PROPN,1
p,PROPN,4
roject,VERB,2
management,PROPN,83
institute,PROPN,8
pmi,PROPN,5
practice,NOUN,20
standard,ADJ,12
guide,NOUN,1
use,VERB,3
tool,NOUN,5
technique,NOUN,4
process,NOUN,37
identifi,PROPN,3
ed,PROPN,1
guide,PROPN,6
project,PROPN,80
body,PROPN,1
knowledge,PROPN,2
pmbok,PROPN,4
g,PROPN,5
uide,ADV,2
fourth,PROPN,9
edition,PROPN,9
practice,PROPN,14
target,NOUN,1
audience,NOUN,1
participate,NOUN,1
management,NOUN,32
project,NOUN,76
include,VERB,9
manager,NOUN,3
personnel,NOUN,3
contract,NOUN,2
supervisor,NOUN,1
stakeholder,NOUN,7
describe,NOUN,1
activity,NOUN,4
input,NOUN,1
output,NOUN,2
specifi,NOUN,2
area,PROPN,1
provide,VERB,11
information,NOUN,4
signifi,NOUN,2
can,AUX,2
not,PART,2
process,VERB,1
perform,VERB,2
execute,VERB,1
necessary,ADJ,1
clarifi,NOUN,1
cation,PROPN,3
perform,NOUN,2
practice,VERB,1
prescribe,NOUN,1
implement,VERB,1
leave,VERB,1
subject,NOUN,1
forum,NOUN,1
handbook,NOUN,1
manual,ADJ,1
course,NOUN,2
chapter,NOUN,4
follow,NOUN,2
section,NOUN,2
purpose,PROPN,2
standard,PROPN,13
risk,PROPN,72
defi,PROPN,4
nition,NOUN,3
role,PROPN,2
good,PROPN,2
critical,PROPN,3
success,PROPN,3
factors,PROPN,3
purpose,NOUN,6
practitioner,NOUN,1
nes,PROPN,1
aspect,PROPN,1
recognize,VERB,5
good,ADJ,4
time,NOUN,5
b,PROPN,1
standard,NOUN,5
globally,ADV,1
applicable,ADJ,3
consistently,ADV,1
apply,VERB,6
descriptive,ADJ,1
rather,ADV,2
one,NUM,1
train,VERB,1
educational,ADJ,1
cover,NOUN,2
risk,NOUN,36
single,ADJ,1
like,SCONJ,1
p,NOUN,6
mbok,PROPN,5
program,NOUN,1
portfolio,NOUN,1
hapter,NOUN,1
basis,NOUN,4
ractice,NOUN,1
consistent,ADJ,2
emphasize,VERB,2
concept,NOUN,2
principle,NOUN,5
relate,VERB,2
align,NOUN,1
figure,PROPN,3
compare,VERB,2
uide,ADP,2
textbook,NOUN,1
handbook,VERB,1
figure,NOUN,1
hierarchy,PROPN,1
resources,PROPN,1
organize,VERB,1
three,NUM,1
main,ADJ,1
ntroductory,ADJ,1
material,NOUN,1
framework,NOUN,1
principle,ADJ,6
context,NOUN,2
introduction,NOUN,1
defi,VERB,2
ned,PROPN,2
principles,PROPN,1
underlie,VERB,1
six,NUM,3
plan,PROPN,3
identify,PROPN,1
risks,PROPN,2
perform,PROPN,2
qualitative,PROPN,1
analysis,PROPN,2
quantitative,ADJ,2
responses,PROPN,1
monitor,PROPN,1
control,PROPN,2
e,NOUN,1
ach,NOUN,1
describe,VERB,4
address,NOUN,3
follow,VERB,1
four,NUM,1
topic,NOUN,1
objective,ADJ,5
b,DET,1
critical,ADJ,4
success,NOUN,4
factor,NOUN,2
document,NOUN,2
result,NOUN,2
glossary,ADJ,1
term,NOUN,4
use,NOUN,1
fundamental,ADJ,2
effective,ADJ,3
comprehensive,ADJ,1
successful,ADJ,3
state,NOUN,1
general,ADJ,3
level,NOUN,9
several,ADJ,1
reason,NOUN,1
rinciple,NOUN,1
expect,VERB,1
agree,VERB,1
upon,SCONJ,3
valid,ADJ,1
future,ADJ,1
constantly,ADV,1
evolve,VERB,1
stability,NOUN,1
persistence,VERB,1
different,ADJ,5
organization,NOUN,6
situation,NOUN,4
require,VERB,10
approach,NOUN,4
particular,ADJ,4
discipline,NOUN,3
contain,NOUN,1
series,NOUN,1
large,ADJ,2
small,ADJ,2
tailor,NOUN,1
congruent,NOUN,1
organizational,ADJ,8
culture,NOUN,1
asset,NOUN,1
many,ADJ,4
way,NOUN,5
conduct,VERB,2
may,AUX,8
comply,VERB,1
present,ADJ,1
carry,VERB,2
global,ADJ,2
refl,NOUN,1
ecte,NOUN,1
business,NOUN,2
arrangement,NOUN,1
participant,ADJ,1
example,NOUN,1
joint,ADJ,2
ventures,PROPN,1
commercial,ADJ,1
national,PROPN,1
company,PROPN,1
government,NOUN,2
non,PROPN,1
organization,PROPN,1
cross,NOUN,1
cultural,ADJ,2
environment,NOUN,5
often,ADV,2
find,VERB,1
team,NOUN,2
herein,NOUN,1
check,NOUN,2
practitioners,PROPN,1
establish,VERB,3
thus,ADV,2
validate,VERB,1
concerned,ADJ,1
conduct,NOUN,7
planning,NOUN,3
analysis,NOUN,3
response,NOUN,5
monitor,NOUN,2
also,ADV,1
state,VERB,1
increase,NOUN,1
probability,NOUN,3
impact,NOUN,3
positive,ADJ,3
event,NOUN,4
decrease,NOUN,1
negative,ADJ,2
uncertain,ADJ,1
condition,NOUN,1
occur,VERB,2
effect,NOUN,1
objective,NOUN,2
scope,NOUN,1
schedule,NOUN,2
cost,NOUN,4
quality,NOUN,1
aim,NOUN,1
identify,VERB,1
prioritize,VERB,1
advance,NOUN,1
occurrence,NOUN,2
action,NOUN,4
orient,ADJ,1
orientation,NOUN,1
consideration,NOUN,1
therefore,ADV,3
likelihood,NOUN,1
addition,NOUN,2
dimension,NOUN,1
optional,ADJ,1
essential,ADJ,1
hence,ADV,1
plan,NOUN,6
operational,ADJ,1
become,VERB,3
integral,ADJ,1
part,NOUN,1
every,DET,3
aspect,NOUN,2
manage,VERB,1
phase,NOUN,1
group,NOUN,1
fi,NOUN,1
nal,ADJ,1
design,NOUN,1
procurement,NOUN,1
daily,ADJ,1
execution,NOUN,3
close,ADJ,1
assume,VERB,1
unrealistic,ADJ,1
degree,NOUN,2
certainty,NOUN,1
need,VERB,2
treatment,NOUN,1
uncertainty,NOUN,2
estimate,NOUN,3
assumption,NOUN,2
build,VERB,1
extend,NOUN,1
instance,NOUN,2
scheduling,NOUN,2
date,NOUN,3
path,NOUN,2
base,NOUN,2
duration,NOUN,2
resource,NOUN,3
availability,NOUN,1
assume,NOUN,1
know,VERB,1
certainty,ADJ,1
explore,NOUN,1
alternative,ADJ,1
realistic,ADJ,5
give,VERB,1
substitute,NOUN,1
contrary,ADJ,1
e,PROPN,2
budgeting,NOUN,1
change,NOUN,4
available,ADJ,2
add,VERB,4
perspective,NOUN,1
value,NOUN,8
take,VERB,2
account,NOUN,1
amount,NOUN,2
contingency,NOUN,1
reserve,PROPN,1
need,AUX,1
cover,VERB,1
confi,NOUN,1
dence,NOUN,1
meeting,NOUN,1
paradox,NOUN,1
affect,VERB,1
early,ADJ,2
stage,NOUN,1
exposure,NOUN,1
maximum,ADJ,1
minimum,NOUN,1
mean,NOUN,1
go,VERB,1
forward,ADV,1
little,ADJ,1
know,ADJ,1
implication,NOUN,1
expectation,NOUN,3
result,VERB,2
throughout,ADP,1
life,NOUN,2
cycle,NOUN,2
continue,VERB,1
progress,NOUN,1
component,NOUN,2
scope,PROPN,1
cost,VERB,1
well,ADV,2
corresponding,ADJ,1
constraint,NOUN,2
balance,NOUN,1
fl,ADP,2
exibility,NOUN,1
knowledge,NOUN,1
review,NOUN,3
