Word,POS Tag,Frequency
principles,PROPN,1
concepts,PROPN,1
introduction,PROPN,1
chapter,NOUN,2
introduce,VERB,1
key,ADJ,3
idea,NOUN,1
require,NOUN,1
understand,PROPN,1
apply,VERB,5
project,PROPN,36
risk,PROPN,29
management,PROPN,32
project,NOUN,61
follow,NOUN,1
approach,NOUN,2
describe,VERB,3
chapter,PROPN,1
p,NOUN,4
mbok,PROPN,2
guide,PROPN,2
fourth,PROPN,3
edition,PROPN,3
principle,NOUN,1
concept,NOUN,1
generally,ADV,1
consistent,ADJ,2
commonly,ADV,1
use,VERB,3
although,SCONJ,1
terminology,NOUN,1
may,AUX,16
differ,VERB,3
detail,NOUN,1
execution,NOUN,1
process,NOUN,19
deal,VERB,1
subsequent,ADJ,1
practice,NOUN,1
standard,ADJ,1
discuss,PROPN,1
defi,PROPN,3
nition,NOUN,5
word,NOUN,1
risk,NOUN,69
many,ADJ,1
way,NOUN,3
everyday,ADJ,1
language,NOUN,1
various,ADJ,2
specialist,NOUN,2
discipline,NOUN,1
use,NOUN,3
g,PROPN,1
uide,ADV,1
standard,PROPN,5
description,NOUN,2
give,VERB,3
pmbok,PROPN,1
follow,VERB,1
roject,PROPN,1
uncertain,ADJ,5
event,NOUN,8
condition,NOUN,5
occur,VERB,9
positive,ADJ,2
negative,ADJ,2
effect,NOUN,8
objective,ADJ,9
defi,NOUN,1
include,VERB,8
two,NUM,4
dimension,NOUN,3
uncertainty,NOUN,4
assess,NOUN,1
importance,NOUN,1
must,AUX,1
consider,VERB,2
term,NOUN,1
probability,NOUN,1
call,VERB,3
impact,NOUN,3
though,SCONJ,1
descriptor,NOUN,1
possible,ADJ,1
likelihood,NOUN,1
consequence,NOUN,1
defi,VERB,3
distinct,ADJ,1
clearly,ADV,2
general,ADJ,1
less,ADJ,1
specifi,PROPN,2
also,ADV,6
encompas,VERB,1
could,AUX,2
objective,NOUN,1
well,INTJ,1
type,NOUN,1
call,NOUN,1
respectively,ADV,1
threat,NOUN,2
opportunity,NOUN,3
important,ADJ,6
address,NOUN,2
within,ADP,6
unifi,PROPN,1
ed,PROPN,6
allow,VERB,1
gain,NOUN,1
synergy,NOUN,1
effi,PROPN,2
