Word,POS Tag,Frequency
perform,PROPN,10
qualitative,PROPN,11
risk,NOUN,85
analysis,PROPN,13
purpose,PROPN,1
objective,NOUN,4
perform,VERB,2
risk,PROPN,19
process,PROPN,5
process,NOUN,14
assess,NOUN,2
evaluate,VERB,2
characteristic,ADJ,3
individually,ADV,1
identifi,PROPN,5
ed,PROPN,4
project,PROPN,13
prioritize,VERB,2
base,NOUN,4
agree,VERB,8
upon,SCONJ,8
individual,ADJ,7
use,VERB,6
qualitative,ADJ,6
analysis,NOUN,16
probability,NOUN,7
occur,VERB,5
effect,NOUN,3
project,NOUN,31
directly,ADV,1
address,VERB,2
overall,ADJ,3
objective,ADJ,13
result,NOUN,2
combine,VERB,1
potential,ADJ,2
interaction,NOUN,1
however,ADV,1
achieve,VERB,1
use,NOUN,6
quantitative,ADJ,1
technique,NOUN,3
see,VERB,3
chapter,NOUN,3
one,NUM,2
step,NOUN,1
categorize,VERB,1
accord,NOUN,2
source,NOUN,4
cause,VERB,1
several,ADJ,3
arise,VERB,2
common,ADJ,6
sometimes,ADV,1
call,VERB,1
root,NOUN,3
cause,SCONJ,2
response,NOUN,8
may,AUX,18
effective,ADJ,3
focus,NOUN,3
address,NOUN,4
cause,NOUN,2
dentifye,VERB,1
group,NOUN,4
allow,VERB,2
cation,PROPN,1
area,PROPN,1
great,ADJ,1
exposure,NOUN,1
e,PROPN,1
g,PROPN,2
completion,NOUN,1
date,NOUN,1
budget,NOUN,1
particular,ADJ,2
deliverable,ADJ,1
scope,NOUN,2
facilitate,NOUN,2
area,NOUN,2
method,NOUN,1
apply,VERB,2
list,NOUN,6
create,VERB,3
update,NOUN,1
identify,PROPN,3
risks,PROPN,11
provide,VERB,4
management,NOUN,7
infl,PROPN,1
uence,NOUN,1
positive,ADJ,1
negative,ADJ,1
achieve,NOUN,1
assess,VERB,6
high,ADJ,7
priority,NOUN,11
either,CCONJ,1
threaten,VERB,1
enhance,NOUN,2
achievement,NOUN,1
important,ADJ,8
plan,PROPN,2
responses,PROPN,1
analyzed,VERB,1
discuss,VERB,1
quantitative,PROPN,1
critical,PROPN,1
success,PROPN,1
factor,NOUN,3
lead,VERB,3
successful,ADJ,1
describe,VERB,1
sections,PROPN,1
summarize,VERB,1
figure,PROPN,3
agreement,PROPN,1
stakeholder,NOUN,4
fundamental,ADJ,1
criterion,NOUN,2
theme,NOUN,1
approach,NOUN,4
foundation,NOUN,1
credibility,NOUN,2
defi,PROPN,6
nition,NOUN,5
enable,VERB,1
quality,NOUN,2
information,NOUN,10
collect,VERB,2
finally,ADV,1
condition,NOUN,1
place,NOUN,1
execute,VERB,1
reliably,ADV,1
contribute,VERB,2
output,NOUN,2
management,PROPN,12
institute,PROPN,5
practice,PROPN,5
standard,PROPN,5
building,PROPN,1
credibility,PROPN,1
