Word,POS Tag,Frequency
perform,VERB,9
quantitative,ADJ,32
risk,NOUN,87
analysis,PROPN,17
purpose,PROPN,1
objective,NOUN,7
process,PROPN,4
risk,PROPN,18
process,NOUN,12
provide,VERB,7
numerical,PROPN,1
estimate,NOUN,11
overall,ADJ,14
effect,NOUN,7
objective,ADJ,11
project,NOUN,60
base,NOUN,3
current,ADJ,2
plan,NOUN,5
information,NOUN,4
consider,VERB,6
simultaneously,ADV,6
result,VERB,3
type,NOUN,1
analysis,NOUN,29
use,NOUN,4
evaluate,VERB,1
likelihood,NOUN,1
success,NOUN,2
achieve,VERB,4
contingency,NOUN,4
reserve,PROPN,6
usually,ADV,2
time,NOUN,11
cost,VERB,4
appropriate,ADJ,5
tolerance,NOUN,4
stakeholder,NOUN,3
generally,ADV,3
accept,VERB,1
analyze,NOUN,1
uncertainty,NOUN,4
use,VERB,14
technique,NOUN,3
monte,PROPN,4
carlo,PROPN,4
simulation,NOUN,4
may,AUX,9
realism,NOUN,1
estimate,VERB,1
cost,NOUN,21
schedule,NOUN,14
non,PROPN,1
probabilistic,ADJ,1
approach,NOUN,1
assume,NOUN,1
activity,NOUN,6
duration,NOUN,2
line,NOUN,7
item,NOUN,7
deterministic,ADJ,2
however,ADV,1
recognize,VERB,2
always,ADV,1
require,VERB,8
example,NOUN,6
qualitative,ADJ,3
enough,ADJ,1
development,NOUN,1
effective,ADJ,1
response,NOUN,3
especially,ADV,2
small,ADJ,1
therefore,PROPN,1
plan,PROPN,3
management,PROPN,14
benefi,PROPN,1
ts,VERB,1
weigh,NOUN,1
effort,NOUN,3
ensure,VERB,2
additional,ADJ,2
insight,NOUN,1
value,NOUN,3
justify,VERB,1
p,NOUN,1
artial,ADJ,1
analyse,NOUN,1
aim,AUX,1
prioritize,VERB,2
individual,ADJ,8
view,NOUN,1
one,NUM,2
therefore,ADV,2
can,AUX,1
not,PART,1
produce,VERB,1
measure,NOUN,2
calculate,VERB,2
focus,NOUN,1
perform,PROPN,3
quantitative,PROPN,7
pecifi,NOUN,1
well,ADV,1
understand,VERB,1
quantifi,PROPN,5
ed,PROPN,8
detailed,ADJ,2
level,NOUN,11
contrast,NOUN,1
achievement,NOUN,1
budget,NOUN,2
schedule,PROPN,1
specifi,PROPN,4
high,ADJ,3
often,ADV,2
level,VERB,1
total,ADJ,5
implication,NOUN,1
risks,PROPN,5
project,VERB,1
implementation,NOUN,1
method,NOUN,8
complete,ADJ,2
accurate,ADJ,1
representation,NOUN,4
build,NOUN,1
element,NOUN,7
examples,PROPN,2
include,VERB,5
identify,VERB,2
detail,NOUN,2
lend,VERB,1
assessment,NOUN,2
generic,ADJ,1
broad,ADJ,1
apply,VERB,1
decision,NOUN,6
tree,NOUN,3
incorporate,VERB,2
multiple,ADJ,1
determine,VERB,2
impact,NOUN,4
project,PROPN,14
institute,PROPN,6
practice,PROPN,6
standard,PROPN,6
r,NOUN,2
esult,NOUN,2
compare,NOUN,1
baseline,NOUN,1
give,VERB,2
management,NOUN,4
answer,VERB,1
important,ADJ,3
question,NOUN,1
probability,NOUN,9
meeting,NOUN,1
much,ADJ,1
e,PROPN,1
g,PROPN,1
buffer,PROPN,1
resource,NOUN,4
need,NOUN,1
organization,NOUN,2
certainty,NOUN,1
upon,SCONJ,3
w,PROPN,1
hat,NOUN,1
part,NOUN,1
contribute,VERB,2
help,VERB,1
distinguish,VERB,1
threaten,VERB,1
beyond,ADP,1
within,ADP,5
acceptable,ADJ,1
even,ADV,1
former,ADJ,1
target,VERB,1
vigorous,ADJ,1
aim,VERB,1
protect,VERB,1
comparison,NOUN,1
present,ADJ,2
figure,NOUN,3
figure,PROPN,1
comparison,PROPN,1
qualitative,PROPN,3
approaches,PROPN,1
critical,PROPN,1
success,PROPN,2
factor,NOUN,2
depend,VERB,3
explicitly,ADV,1
least,ADJ,1
describe,VERB,2
sections,PROPN,1
prior,PROPN,1
identifi,PROPN,2
cation,NOUN,1
occur,VERB,10
identify,PROPN,1
reference,PROPN,1
list,NOUN,2
significant,ADJ,1
analyze,VERB,2
quantitatively,ADV,1
appropriate,PROPN,2
model,PROPN,1
model,NOUN,10
basis,NOUN,1
frequently,ADV,1
face,NOUN,1
sensitive,ADJ,1
completeness,ADJ,1
correctness,NOUN,1
commitment,PROPN,1
collecting,PROPN,1
high,PROPN,1
quality,PROPN,1
data,PROPN,3
ften,VERB,1
quality,NOUN,1
datum,NOUN,6
available,ADJ,3
historic,ADJ,1
database,NOUN,1
gather,VERB,4
interview,NOUN,2
workshop,NOUN,2
mean,NOUN,1
expert,NOUN,1
judgment,NOUN,1
collection,PROPN,1
well,INTJ,1
support,NOUN,1
unbiased,PROPN,1
uccess,ADJ,1
require,NOUN,2
ability,NOUN,1
bias,NOUN,5
combat,NOUN,1
develop,VERB,1
unbiased,ADJ,1
source,NOUN,2
bias,PROPN,1
many,ADJ,4
reason,NOUN,1
two,NUM,1
common,ADJ,2
cognitive,PROPN,1
motivational,NOUN,1
overall,PROPN,1
derived,PROPN,1
individual,PROPN,1
methodology,NOUN,1
correctly,ADV,1
derive,VERB,1
make,VERB,2
future,ADJ,1
event,NOUN,3
certain,ADJ,1
combine,VERB,2
derive,ADJ,1
task,NOUN,1
incorporate,ADJ,1
calculate,NOUN,1
entire,ADJ,1
interrelationships,PROPN,1
attention,PROPN,1
possibility,NOUN,2
relate,NOUN,2
several,ADJ,3
common,VERB,1
root,NOUN,2
cause,NOUN,2
likely,ADV,1
together,ADV,4
sometimes,ADV,1
address,VERB,1
correlate,VERB,1
ensure,NOUN,1
another,DET,1
way,NOUN,2
represent,VERB,2
register,NOUN,1
attach,VERB,1
particular,ADJ,1
affect,VERB,1
experience,NOUN,1
tools,PROPN,2
techniques,PROPN,1
ool,NOUN,1
appropriately,ADV,1
characteristic,ADJ,1
follow,NOUN,1
comprehensive,PROPN,1
representation,PROPN,1
permit,NOUN,2
also,ADV,3
permit,VERB,1
opportunity,NOUN,2
threat,NOUN,1
impact,PROPN,1
calculation,PROPN,1
q,PROPN,1
uantitative,ADJ,1
facilitate,NOUN,1
correct,ADJ,1
calculation,NOUN,1
typically,ADV,2
method,PROPN,1
